Name,Price,Discount,Worthy,Final_rating,Number_of_ratings,5star,4star,3star,2star,1star,Brand,Genre,Sub-Genre,Publication_day,Publication_month,Publication_year,Operating_system,Sub_operating_system,Format,Platform,Other_features,Description,Description_bullets_num,Description_size
Sonic Lost World [Online Game Code],29.99,0.0,1,4.2,13,8,0,1,1,0,14,1,0,2,11,2015,4,3,0,1,0,"Rise Against the Deadly Six!
When the Deadly Six threaten to destroy his world, Sonic’s new moves & power-ups are the only way to defeat them before it’s too late!",2,30
The Book of Unwritten Tales [Download],4.99,15.0,0,3.5,16,2,7,2,0,2,34,2,0,31,7,2012,2,2,0,1,0,"You can download your game or software order an unlimited number of times for personal use.
Please check the system requirements to verify this game works with your computer and/or operating system before purchase.
You can also shop for digital games on your mobile device.",3,45
18 Wheels of Steel Convoy - PC,9.45,0.0,1,4.0,25,13,2,5,1,1,32,14,0,0,0,0,2,0,1,1,0,"Feel the rumble of the road beneath the wheels of over 35 rigs and trailers
Haul asphalt through 40 cities coast to coast and from Mexico to Canada
Bid on 45 cargo types and prove you can handle the big jobs
Build your reputation by getting the job done right. Bigger and better jobs wait for the trucker who gets'r done!",4,61
Borderlands 2: Commando Domination Pack [Online Game Code],0.99,0.0,1,5.0,4,4,0,0,0,0,6,1,0,22,1,2013,1,1,0,1,0,Requires Steam Client to activate.  Steam key only valid in North America.,1,12
Helicoptor Strike Force - PC,16.0,0.0,0,1.0,3,0,0,0,0,3,38,1,0,0,0,0,1,1,1,1,0,"Fully destructible 3D environment--enemies as well as friends can be destroyed
18 combat missions; many missions have multiple objectives
Thorough storyline to lead you from one mission to the next
Fast-paced action with intuitive and fluid gameplay
Numerous weapon options",5,40
Far Cry Primal - PC Standard Edition,49.99,0.0,1,4.2,213,149,14,12,10,25,1,1,0,1,3,2016,14,0,0,1,0,"Stone Age By Far Cry: Enter an open world sandbox filled with the unpredictable chaos and peril that the Award-winning Far Cry franchise is known for.
Rise Above Extinction: Defeat the deadly tribes of Oros with all new weapons and tools in the original fight for humanity’s survival.
Control Epic Beasts: Tame every predator and choose how you use their specific skills to slay your foes.
Discover the Deadly World of Oros: Fight to survive amid lush redwood forests, harsh taiga, frozen tundra, and murky swamps.",4,86
Whirlwind Over Vietnam - PC,17.95,0.0,0,3.7,11,5,1,1,1,1,112,1,0,0,0,0,2,0,1,1,0,"Based on the events of the military campaign in the Ia Drang Valley in November, 1965
Play different positions in the helicopter crew - pilot, co-pilot, gunner
Various mission types - fire support, fire coordination, enemy search and destroy
Unprecedented level of details - helicopters, vehicles, equipment, human models and environment
Real weapons and military equipment of that period - From firearms, grenade launchers and artillery to planes and vehicles on both sides of the conflict",5,76
Disintegration Standard - PC [Online Game Code],29.99,0.0,0,3.5,2,1,0,0,0,0,52,1,0,16,6,2020,5,0,0,1,0,"Tactical Gravcycle combat: Pilot a heavily armed Gravcycle featuring a variety of firepower, maneuverability, and abilities. Also command your crew on the ground, directing them to attack targets, pick up items, and use their unique abilities to turn the tide in battle.
Riveting single-player campaign: From Marcus Lehto, the co-creator of Halo and creative director of Halo: Reach, comes an all-new sci-fi saga. Play as Romer Shoal and confront the Rayonne, a rising global army set on eliminating what remains of humanity.",2,82
WWE 2K16 [Online Game Code],49.99,0.0,0,2.8,9,1,0,1,3,1,6,1,0,10,3,2016,0,0,0,1,0,"Largest Roster Ever: Offering more than 120 unique playable characters, including cover Superstar Stone Cold Steve Austin alongside Seth Rollins, Daniel Bryan, Dean Ambrose, Bad News Barrett, Paige and Finn Bálor, WWE 2K16 includes the largest roster in WWE video game history.
2K Showcase: The franchise’s popular story-based mode returns in WWE 2K16, enabling players to relive iconic matches and moments in WWE history. Along the way, they will complete objectives to unlock legendary characters, entrance and ring gear, match types and unlockables.
WWE Universe: WWE 2K16 makes core improvements to stories, rivals and match card selections. In addition, for the first time, Superstars can be assigned to multiple shows, enabling players to have a broader experience.",3,117
Encore Classic Puzzle & Board Games - [PC Download],19.99,0.0,0,3.7,84,47,10,5,2,19,91,10,2,6,9,2019,4,3,0,1,0,"Encore Classic Puzzle & Board Games includes your favorite classic games like Chess, Backgammon, Crosswords, Mahjongg, and much more.
Train your brain with this epic collection of over 1,000 puzzles and board games.
Play traditional favorites and new games to challenge your skill, strategy and wit
With new and classic games, this collection is chock-full of fun for all ages
Includes word games, strategy games, card games, board games, brain teasers, memory games, and more",5,75
Fallout 4 Game of The Year Edition - PC,59.99,0.0,0,3.8,212,127,16,8,4,53,12,1,0,0,0,0,4,0,4,1,0,"Freedom and Liberty! Do whatever you want in a massive open world with hundreds of locations, characters, and quests. Join multiple factions vying for power or go it alone, the choices are all yours
Be whoever you want with the S.P.E.C.I.A.L. character system. From a Power Armored soldier to the charismatic smooth talker, you can choose from hundreds of Perks and develop your own playstyle
New next generation graphics and lighting engine brings to life the world of Fallout. From the blasted forests of the Commonwealth to the ruins of Boston, every location is packed with dynamic detail
Intense first or third person combat can also be slowed down with the new dynamic Vault Tec Assisted Targeting System (V.A.T.S) that lets you choose your attacks and enjoy cinematic carnage",4,129
The Godfather II - PC,9.95,30.04,1,4.5,196,139,33,11,5,5,0,1,0,0,0,0,1,1,2,1,0,"Relive the greatest moments from ""The Godfather II"" in an open-world action experience inspired by the movie
Act like a mobster to command respect, intimidating and extorting business owners and rival families with devastating new attacks and executions
Recruit, develop, and promote members of your crime family. Recruit your friends to join your family and take them into battle online to find out who is the Don of Dons
Bring up to three crew members along on jobs, including an arsonist, demolitions expert, safecracker, and more. Command their actions in battle and unleash their specialties on your enemies
Be a true Don as you coordinate all the action using a 3D world map: survey your turf, place defenses on businesses, analyze crime patterns, identify new illicit racket monopolies, and choose the target of your next attack",5,136
Project CARS 3 Standard Edition - PC [Online Game Code],59.99,0.0,1,4.3,3,1,1,0,0,0,19,1,0,28,8,2020,4,3,0,1,0,"Project CARS 3 is the third installment in the best-seller racing franchise that brings all the intense thrills, emotions and fun from the vibrant world of motor racing to vivid life as players undertake a whole new exciting career journey that sees them rise from weekend warrior to racing legend.
With a completely redesigned and unrivaled controller experience, an even more accurate and fun handling model, adjustable skill settings for every level of driver and every element of weather-affected races, Project CARS 3 is the biggest, most exciting and authentic evolution to the definitive racing franchise.",2,96
Monster Jam Steel Titans - PC Standard Edition,16.12,13.87,0,3.4,12,6,0,0,2,3,5,14,0,0,0,0,4,3,2,1,0,"Drive a MONSTER! Compete with 25 of the most popular trucks including Grave Digger and Max-D!
Total destruction including breaking body panels, deforming junker cars as well as demolishing the environment!
Perform your favorite stunts! Bicycles, Stoppies, Moonwalks, Walk Its, Cyclones, Pogos, Power Outs and Back-Flips!
Hear the roar of huge crowds inside 12 stadiums packed with fans on your road to the Monster Jam World Finals!
Explore and smash through the environment in a Massive Outdoor World!",5,78
Tom Clancy's Splinter Cell: Conviction,9.8,0.0,1,4.4,187,130,29,7,7,11,1,1,0,0,0,0,0,0,4,1,1,"A unique co-op mode known as ""Prologue"" featuring an exclusive story mode full of new characters, settings, four exclusive maps and more. It is only available within Conviction's Co-op mode.
A full arsenal of cutting-edge technologies like the Last Known Position system, that allows you to outflank foes and set traps, and the Mark and Execute feature that allows you to tag enemies and environments for elimination.
A unique storytelling style that keeps you on the edge of your seat as you navigate the explosive world of a renegade agent where trust is impossible and justice requires you to go above the law.
A revolutionary new graphic direction delivering an utterly seamless gameplay experience that’ll keep you totally engrossed in the story of Sam Fisher.
Xbox LIVE support made up of addictive multiplayer modes, content downloads, messaging and voice support and more designed to amp up the dramatic intensity like never before.",5,152
Outriders - PC [Online Game Code],49.99,10.0,0,3.7,58,23,16,6,2,8,3,3,3,1,4,2021,5,0,0,1,0,"A DARK AND DESPERATE JOURNEY Discover the hostile planet of Enoch as you embark on a journey to the source of a mysterious signal.
DYNAMIC 1-3 PLAYER CO-OP Play single-player or join up to two friends in drop-in drop-out co-op as you tackle the horrors of a hyper-evolved planet.
FOUR UNIQUE CLASSES Create and customize your own Outrider and choose from four unique classes each with its own skill tree to define your own playstyle.
SCAVENGE & ADAPT Customize and upgrade your Outrider with countless items of mod-able guns and gear, as you leave humanity behind.",4,96
The Sims 4 - Get to Work [Online Game Code],39.99,0.0,1,4.7,1179,990,106,47,11,23,0,7,0,31,3,2015,17,5,0,1,0,"Order The Sims 4 Get to Work PC [Online Game Code] by January 5, 2021 to receive The Sims 4 - PC [Online Game Code] base game at no additional cost. Must be shipped and sold by Amazon. Codes will be sent within 24 hours of shipment
You rule the workplace with The Sims 4 Get to Work
Actively control your Sims while they’re at work and determine whether your Sims are headed towards the big promotion or becoming the workplace menace
Learn new skills to help your Sims create even more unique objects to enjoy in The Sims 4",4,100
Dark Romance: Kingdom of Death [Download],6.89,0.0,0,3.5,9,3,1,1,0,2,7,6,0,18,4,2017,1,5,0,1,0,"Travel back to the mythical world of ancient Greece
Uncover a devilish conspiracy in this awesome Hidden Object hit
Solve dozens of intricate puzzles and tricky minigames
Don't miss this brilliant new game in the beloved Dark Romance series!",4,39
GRIM TALES Part 3: THE WISHES + Part 4: THE STONE QUEEN Hidden Object + Bonus Game,17.95,0.0,1,4.4,46,34,2,3,1,2,50,2,0,0,0,0,2,12,2,1,0,Brand New in box. The product ships with all relevant accessories,1,11
Blood: One Unit Whole Blood [Online Game Code],5.99,0.0,1,4.7,9,7,0,1,0,0,4,1,0,15,7,1998,1,1,0,1,0,"Includes the original Blood and addons: Plasma Pak and Cryptic Passage.
Various, often crazy weapon types like a pitchfork, flare gun or a Voodoo doll.
A grim atmosphere with an abundance of graphical violence, offset by dark humor and cheesy one-liners.",3,41
VALORANT $100 Gift Card - PC [Online Game Code],100.0,0.0,1,4.6,6078,5166,364,182,60,364,69,1,3,1,6,2020,4,3,0,1,0,"The perfect gift for anyone who plays VALORANT or trying it out for the first time
Unlocks in-game currency that can be used to purchase weapon skins and unlock new agents
Gift cards are redeemable on Riot accounts in the US only",3,42
Omerta - City of Gangsters Gold Edition - PC,10.69,0.0,0,3.7,7,3,0,1,0,1,26,4,0,0,0,0,14,2,2,1,0,"Includes the main game, the expansion ""The Japanese Incentive"" and all released DLC content
Two extensive single player campaigns filled with plot twists, unique characters and daring missions
More than 100 diversified hours of playtime in an authentically recreated 1920s Atlantic City
Strategically build your gangster empire with speakeasies, casinos, hotels and distilleries in real time
Bowl smart AI enemies out of town through raids, burglaries and extortion in sandbox mode",5,71
Dragon Age: Origins Awakening - PC,11.99,0.0,1,4.3,179,103,46,10,7,10,0,3,0,0,0,0,1,1,2,1,0,"Experience additional spells, abilities, specializations, and items to further personalize and customize your hero and party – Import your character from Dragon Age: Origins or start anew as a Grey Warden from Oralais.
Embark on an epic story that is completely defined and reactive to your play style – Shape your entire experience based on the choices you make and how your handle complex situations.
Encounter five all-new party members and an old favorite from Dragon Age: Origins.
BioWare’s deepest universe to date just got bigger with an all new area of the world to explore, Amaranthine – Unlock the secrets of the Darkspawn and their true motivations – Rebuild the Grey Warden order.
Battle against a new range of horrific and terrifying creatures – Put your skills to the test against an evolved, intelligent breed of Darkspawn and other menacing creatures including the Inferno Golem, Spectral Dragon and others.",5,150
Nancy Drew: The Haunted Carousel [Download],6.99,0.0,1,4.5,195,148,17,9,5,11,10,5,0,25,7,2003,1,1,0,0,1,"Play Mini-Games In The Arcade.
Reconstruct A Historic Carousel.
Keep Track Of Clues And Suspects With Your Laptop.
Erase Mistakes With The Second Chance Option.",4,25
L.A. Noire: The Complete Edition - PC,24.44,5.55,0,3.9,245,137,41,14,7,44,30,2,0,0,0,0,1,1,1,1,0,"Amid the post-war boom of Hollywood's Golden Age, Cole Phelps is an LAPD detective thrown headfirst into a city drowning in its own success.
Amid the post-war boom of Hollywood's Golden Age, Cole Phelps is an LAPD detective thrown headfirst into a city drowning in its own success. Corruption is rampant, the drug trade is exploding, and murder rates are at an all-time high. In his fight to climb the ranks and do what's right, Phelps must unravel the truth behind a string of arson attacks, racketeering conspiracies and brutal murders, battling the L.A. underworld and even members of his own department to uncover a secret that could shake the city to its rotten core.
Using groundbreaking new animation technology that captures every nuance of an actor's facial performance in astonishing detail, L.A. Noire is a violent crime thriller that blends breathtaking action with true detective work to deliver an unprecedented interactive experience. Search for clues, chase down suspects and interrogate witnesses as you struggle to find the truth in a city where everyone has something to hide.",3,178
Super Collapse 3 JC - PC,5.55,0.0,1,4.2,45,30,3,6,0,4,13,5,0,0,0,0,2,0,1,1,0,Super Collapse 3 JC,1,4
The Secret World - PC,29.99,0.0,1,4.2,470,286,94,42,9,37,0,7,0,0,0,0,1,1,2,1,0,"Conspiracies, Myths and Legends - Everything is true. A real-world, modern-day MMO reaching into legends and myths that unravels as the player progresses.
No Classes, No levels - Be who you want to be, and play how you want to play. Hundreds of abilities and powers are available as you evolve your character without traditional level or class restraints.
Join a Secret Society and fight in the Secret War with thousands of other players. As a member of the Illuminati, the Dragon or the Templars - fight together against the rising tide of darkness or battle against other players in massive PvP warzones.
Epic storyline and missions. Unravel mysteries and conspiracies in one of the most engrossing stories ever told in an MMO, told through groundbreaking mission gameplay and overarching storyline.
Incredible graphics. Enjoy ground-breaking graphics as The Secret World sets new standards for MMO visuals.",5,146
Tibetan Quest: Beyond the World's End Collector's Edition [Download],19.9,0.0,1,4.6,3,1,1,0,0,0,7,6,0,18,4,2017,1,5,0,1,0,"Bring light to a fantastic secret
Discover the miracles of Tibet in this Hidden Object adventure
Dive into a dreamlike world of legends
Enjoy the new masterpiece from the creators of the fantastic Hidden Object masterpiece Queen's Quest: Tower of Darkness Collector's Edition",4,43
Sid Meiers Civilization IV: The Complete Edition [Download],29.99,0.0,0,3.8,90,49,11,6,6,16,6,7,0,12,5,2009,1,1,0,1,0,Requires Steam Client to activate.  Steam key only valid in North America.,1,12
Big City Adventure: Rome [Download],6.89,0.0,0,3.4,56,26,3,7,0,17,7,6,0,28,6,2017,6,2,0,1,0,"Explore the modern sights and ancients wonders of Rome
Solve 120 rounds of Hidden Object and minigame fun
Collect 60 postcards and discover fascinating and obscure facts about Rome's most historic locations
With thousands of years of art, history, and culture to explore, Rome is the perfect place for your next great ""Big City Adventure"" !",4,56
Sid Meier's Civilization V: The Complete Edition - PC,24.99,0.0,1,4.4,525,362,84,26,15,36,41,4,0,0,0,0,0,0,0,0,1,"ENDLESS REPLAYABILITY: Play as one of 43 historical leaders and wage war by land, sea, and air, conduct diplomacy & espionage, establish religious beliefs, and discover new technologies in your quest to build the most powerful empire the world has ever known.
HUGE BATTLES: Wars between empires spread across land and sea. Ranged bombardment challenges you to develop clever strategies to guarantee victory on the battlefield.
DIPLOMACY: Negotiate with some of history’s most cunning rulers, each with a well-crafted plan for victory. City-states present a diplomatic battleground on which the major powers of the world will vie for supremacy.
RELIGION: Cultivate Great Prophets and create a religion you can customize and enhance.
ESPIONAGE: Send your spies into foreign cities for surveillance, to steal advanced technologies from your competitors, or to interfere with city-state alliances.",5,134
Nancy Drew: The Captive Curse [Download],6.99,0.0,1,4.2,163,117,14,3,4,22,10,2,0,15,4,2012,2,2,0,1,0,0,0,0
Cabela's Big Game Hunter Pro Hunts [Online Game Code],29.99,0.0,0,3.4,44,20,3,5,1,12,2,1,0,25,3,2014,1,1,0,1,0,0,0,0
Hell's Kitchen - PC,14.99,5.0,1,4.6,67,56,2,2,2,2,1,7,4,0,0,0,1,1,2,1,0,"Just like the contestants on the TV show, players must master all aspects of cooking: preparation, cooking and service
Chef Ramsay watches your every move and judges you as you progress - yelling, praising or shutting down the kitchen if your skills don't meet his expectations
As you progress, you’ll gain access to authentic Gordon Ramsay recipes, including many that are exclusive to game owners
In Career Mode, earn your stars to build your way up from a Single Star restaurant to a prestigious Five Star establishment. Then, continue to advance through seven more restaurant ranks. As your Star Rating advances, the recipes become more intricate
In Arcade Mode, concentrate your efforts solely on food preparation and cooking. The pressure builds as customers become increasingly more demanding.",5,127
Emergency 3 [Download],9.99,0.0,0,3.9,59,30,10,5,5,6,68,7,0,27,2,2006,2,0,0,0,1,"Lead More Than 35 Emergency Units.
Detailed 3D Graphics.
Realistic Day-Night Effects And Weather Conditions.
Real-Time Physics.",4,17
Final Cut: Death on the Silver Screen and Strange Cases: The Tarot Card Mystery - PC,7.0,0.0,1,4.8,6,5,0,0,0,0,2,5,0,0,0,0,1,1,1,1,0,"This refurbished product is tested and certified to work properly. The product will have minor blemishes and/or light scratches. The refurbishing process includes functionality testing, basic cleaning, inspection, and repackaging. The product ships with all relevant accessories, and may arrive in a generic box.",1,44
Naruto to Baruto: Shinobi Striker [Online Game Code],59.99,0.0,1,5.0,2,2,0,0,0,0,19,3,0,31,8,2018,7,0,0,1,0,"4 vs. 4 team based gameplay with 8 ninjas fighting simultaneously; play co-op with your friends to become the best ninjas online.
Enjoy a new graphic style with more vivid colors for characters, maps and ninjutsu.
Dynamic 3rd person ninja gameplay lets players take advantage of an arena environment with vertical running and jumping.
Features favorite Naruto characters and teams from the series including Naruto, Sasuke, and Team 7.",4,69
Pokemon Master's Arena - PC,46.21,0.0,1,4.0,3,0,3,0,0,0,20,3,0,0,0,0,2,0,1,1,0,"Pokemon Master's Arena for the PC
Everything included
Disk, Manual, Case, and Slip on cover",3,15
Plants Vs. Zombies: Battle for Neighborville - PC,22.3,0.0,1,4.0,77,50,6,5,3,12,0,4,0,0,0,0,1,5,1,1,0,"Join the newest bloom in the age old battle between plants and zombies with 20 fully customizable classes at launch, including a Team Play class for each faction
The tension across the terra has expanded with three free roam regions and one PvE mode that extend beyond the town of Neighborville.
New plants. New zombies. New Turf. Pick a side and kick some grass",3,64
Law and Order Triple Pack - PC,69.95,0.0,0,3.6,29,11,7,2,2,4,1,7,0,0,0,0,2,0,1,1,0,"Justice Is Served - Solve the murder of a tennis star mysteriously found dead on the locker room floor just before the start of the U.S. Open.
Dead on the Money - A strangled woman's murder was almost solved, until a defense attorney undermines your case. Track down last-minute evidence and reveal the truth.
Double or Nothing - Find out why a renowned scientist working on a top-secret project was shot to death in his car.",3,76
Jane's Advance Strike Fighters - PC,12.49,7.5,0,3.6,129,51,20,27,9,20,31,7,0,0,0,0,1,1,2,1,0,"Azbaristan, a country about to explode - J.A.S.F. thrusts you into the pilot's seat as an American squadron leader caught in the middle of a long overdue war to reunify the once proud country of Azbaristan. Take part in the Azbarian civil war across 16 thrilling missions
Cunning Enemies from the North - Take on the massive assault of aerial, ground and naval forces with only seconds to decide your fate of victory or defeat
Combat over land, air and sea - Over 65,000km2 of continuous terrain, including cities, industrial centers, mountainous regions and deserts
Diverse Array of Advanced Fighters to Fly - Access to over 30 flyable jets from the US, Europe, Russia and China. It also features the very best of the next generation in fighters such as the F-22A Raptor, F-35 Lightning II, Russia's Su-35 Super Flanker and their newest plane, the 5th Generation PAK-FA",4,148
Tom Clancy's Rainbow Six Siege Operator Edition - PC [Online Game Code],69.99,0.0,1,5.0,2,2,0,0,0,0,1,1,3,16,3,2021,4,3,0,1,0,"Dive into explosive 5v5 gameplay, high-stakes competition, and thrilling PvP battles solo or with friends.
The game features an ever-expanding experience with limitless opportunities to perfect your strategy and help lead your team to victory.
Tom Clancy's Rainbow Six Siege is constantly evolving. Each new season brings brand-new content, game-changing Operators and abilities, in-game events, weapons, and maps.
Command an arsenal of gadgets to secure the win: Set traps, fly drones, track footsteps, see through walls, and more!
Lead your teammates to victory in intense, fast-paced PVP matches across a wide variety of destructible arenas.
Join a massive online community of over 45 million players as you fight for supremacy.
An ever-expanding universe of Operators, gadgets, items, and events – updated all year long.",7,124
Call of Juarez: Bound in Blood - PC,9.48,0.0,1,4.1,82,44,17,7,6,6,1,1,0,0,0,0,1,1,2,1,0,"Variety of weapons from revolvers to heavy-caliber cannons and machine guns
Every accurate shot increases concentration, which allows you to unleash deadly shooting modes when outnumbered and even deadlier ones when the brothers work together
Choose to embody Ray or Thomas, each with a distinctive game play style (close or long range), specific abilities (lasso, dynamite) and arsenal of deadly weapons (dual guns, long-range carbine)
The McCall brothers face a renegade Apache Chief, a greedy Mexican bandit, a vindictive Colonel, and others, all driven by greed with moral disregard
Variety of situations, using horses, canoes and wagons to explore the vast natural landscapes of the Wild West",5,107
The Sims 4 - Realm of Magic [Online Game Code],13.99,6.01,1,4.7,1084,878,119,54,10,21,0,2,0,10,9,2019,5,0,0,1,0,"Discover the Neighborhood An unreal world awaits your Sims.
Learn the Craft Collect and cast spells to make Sims fight, conjure food, or even turn others into objects.
Get Real Familiar Summon a dragon, fairy, or the familiar that best suits your Sim’s personality.
Dress for Supernatural Success – Get in the spirit of sorcery with outfits that suit your Sim.",4,61
Labyrinths of the World: Shattered Soul [Download],6.89,0.0,0,3.5,21,7,4,2,2,3,7,6,0,8,4,2016,1,5,0,1,0,"Get ready for an exciting Hidden-Object adventure
Explore four fantastic worlds
Solve tricky riddles and challenging minigames
Save your sister's soul and stop a mad scientist",4,26
Sherlock Holmes versus Arsene Lupin [Download],6.89,0.0,0,3.5,10,5,1,1,0,2,7,2,0,22,5,2014,1,5,0,1,0,"Interrogate more than 40 characters and find documents and clues to lead your case to its closing
Discover beautiful London and its faithfully recreated famous monuments as investigation sites
A battle of wits between two of the 19th century's greatest characters: Will you be up to the challenge?",3,48
Life Is Strange: True Colors Deluxe - PC [Online Game Code],69.99,0.0,1,5.0,2,2,0,0,0,0,3,2,0,10,9,2021,6,5,0,1,0,"THE TRUTH WILL HURT ,Discover the shocking secrets behind your brother’s death in an emotional roller-coaster of an adventure.
FEEL EVERYTHING,Change fate and change lives with the psychic power of Empathy.
FORGE DEEP RELATIONSHIPS,Build trust with the townsfolk – and embrace friendship or romance with Ryan and Steph.
A TRULY PERSONAL STORY,Make tough decisions and choose your own future. Freely roam the streets, stores, and hidden spaces of Haven Springs and meet unforgettable characters.",4,74
Mystery Tales: Alaskan Wild [Download],9.99,0.0,0,2.7,13,2,2,1,0,5,7,6,0,25,10,2016,6,5,0,1,0,"Break a terrible curse in his spectacular Hidden Object adventure
Take on the form of wild animals and use their unique skills
Solve tricky puzzles and mind-bending minigames
Are you ready for the latest Hidden Object adventure from the developers of the top hit ""Mystery Tales: The Twilight World""?",4,49
Broken Age - PC (UK Import),10.18,0.0,1,4.0,29,13,7,3,2,2,5,3,0,0,0,0,15,15,1,1,0,"Original soundtrack, composed by Peter McConnell, recorded by the Melbourne Symphony Orchestra
All-star voice cast, including Elijah Wood, Jack Black, Jennifer Hale, Will Wheaton, and Pendleton Ward
Some jokes. Unless you don't think they're funny, in which case we totally weren't trying to be funny.
This one really hard puzzle that you won't get but you'll look it up online and not tell anybody
All your hopes and dreams",5,69
Mass Effect 2 - PC,9.9,10.09,1,4.4,517,377,36,51,15,36,0,1,0,0,0,0,1,1,2,1,0,"Improved NPC conversation system where Commander Shepard can take matters into your own hands – interrupting or using force to get the answer required.
The second act of BioWare's epic sci-fi RPG trilogy continues the story of Commander Shepard and humanity's first steps onto the galactic stage.
Integration with the original Mass Effect game allows players to import saved files and contiue play with those files in Mass Effect 2.
Choose from 19 different weapons, including devastating heavy weapons that can end a battle in seconds.
New location based damage system allows for targeting of key weak points, blasting off limbs, igniting enemies, or cripple and disable enemy troops.",5,109
Mahjong Towers Eternity - PC,19.95,0.0,0,3.6,89,41,8,15,8,15,13,5,0,0,0,0,2,0,1,1,0,"More than 40,000 layouts
Chat with other players
Create and share custom boards",3,13
Living Legends: Ice Rose Collector's Edition [Download],14.99,0.0,0,3.9,44,16,16,3,4,3,27,6,0,2,5,2013,1,5,0,1,0,"What if winter never ended? A novelist uncovers evidence of a terrible tragedy in the city of Rosemount and sets off to investigate.
Will you gather information for his new book and explore the Castle of the Ice Queen or will you become the latest thrall in a cold-hearted enchantress' plan to bury the world in snow and ice?
It's up to you to scour the frozen landscapes and thaw out important locations to solve this intriguing mystery!
Inspired by Hans Andersen's famous tale ""The Snow Queen"", this Collector's Edition of LIVING LEGENDS: ICE ROSE includes bonus gameplay, strategy guide, and much more!
What if winter never ended? A novelist uncovers evidence of a terrible tragedy in the city of Rosemount and sets off to investigate.
Will he gather information for his new book and explore the Castle of the Ice Queen or will he become the latest thrall in a cold-hearted enchantress' plan to bury the world in snow and ice?
It's up to you to scour the frozen landscapes and thaw out important locations to solve this intriguing mystery!
Inspired by Hans Andersen's famous tale ""The Snow Queen"", this Collector's Edition of LIVING LEGENDS: ICE ROSE includes bonus gameplay, strategy guide, and much more!",8,206
Titanic: Adventure out of Time,68.88,0.0,1,4.5,29,23,2,0,2,2,112,1,0,0,0,0,0,0,1,1,1,two disc set 3-D enviornments,1,5
Need for Speed Underground - PC,39.99,0.0,1,4.2,138,92,12,16,5,11,0,14,0,0,0,0,3,1,1,1,0,"Features urban street racing and high performance tuner cars
Build the ultimate street machine by earning cash to pay for custom body kits
20 fully customizable, licensed cars from Mitsubishi Motors, Subaru, Toyota, and more
Perfect skills by nailing the perfect shift in drag racing and by putting you street cred on the line
For up to four players",5,59
The Sims 4 - Throwback Fit - PC [Online Game Code],4.99,0.0,1,4.6,78,60,7,7,0,2,0,1,2,4,3,2021,5,0,0,1,0,"Get fit in style - Hit the gym or take it easy at home with nineteen comfortable, sporty pieces that call back to the energy and simplicity of the ‘90s.
Top it off - The kids might not have been around for it the first time, but now they can discover the neon joy of the past.",2,57
Antique Shop: Lost Gems Egypt [Download],6.89,0.0,0,3.7,4,2,0,0,0,1,7,5,0,27,6,2017,6,2,0,1,0,"Solve 150 fast paced-levels with varying game modes
Unlock innovative power-ups with ability to really change the game
Explore the Mediterranean in 6 awesome locations full of secrets
Dive into this brilliant Match-3 adventure and return to the captivating story from the Hidden Object hit ""Antique Shop: Book of Souls""",4,50
Starcraft II: Legacy of the Void - Standard Edition,29.95,0.0,1,4.5,469,351,56,28,14,18,23,4,0,0,0,0,13,8,2,1,0,"This is a standalone product. It does not require any other version of StarCraft II to play
Internet Connection Required
Battle.net registration and Battle.net Desktop Application required",3,27
Europa Universalis IV: El Dorado [Online Game Code],14.99,0.0,1,5.0,7,7,0,0,0,0,18,4,0,26,2,2015,9,0,0,1,0,"A deep Nation Designer gives you new starting options for your games, including national ideas and custom monarchs.
Experience the new Nahuatl, Inti and Mayan religions with blood sacrifices or Sun Worship.
Send your conquistadors to hunt for the Seven Cities of Gold, or your explorer on exploration missions around the world.
Gold Fleets can traffic New World wealth back to Europe, and be targeted by your privateer fleets.
Maintain good relations with the Pope so you can get a corner of the world to call your own in the Treaty of Tordesillas.",5,93
Sudden Strike 4: Complete Collection PC - PC,39.95,0.0,0,3.7,19,9,3,0,2,3,26,4,0,0,0,0,1,1,2,1,0,"Sudden Strike 4: Complete Collection offers realistic real-time strategy gameplay with tactical depth and a historic al setting across 11 campaigns.
Contains all free content updates available, with over 10 new maps and gameplay refinements.
Command German and Soviet forces in the Battle of Kursk - one of the largest tank battles of World War II!
Adapt and refine the military doctrines of more than 20 renowned commanders, such as Heinz Guderian, George S. Patton or Charles de Gaulle for a different strategic and tactical approach to each scenario.
Pit yourself against other commanders or challenging enemy AI enemies in competitive multiplayer modes.",5,103
Medieval II : Total War Collection [Online Game Code],24.99,0.0,1,4.3,49,30,10,2,0,4,14,4,0,29,8,2007,2,6,0,1,0,"Take command of your army and expand your reign in Medieval II
An epic 450 year campaign challenges you to seize control of the medieval world. Fight across Europe, The Middle East and, for the first time ever in Total War, discover the New World and the fearsome Aztecs.",2,49
Atari 80 Classic Games in One [Download],9.99,0.0,0,2.8,42,10,6,5,3,15,4,8,0,11,11,2003,2,6,0,1,0,"Experience a wide variety of gameplay that spans 80 games
Collection includes both arcade and Atari 2600 titles
Arcade action includes Battlezone, Crystal Castles, Missile Command and more
No manuals to read, no strategy guides to study -- just start playing and try to score the most points",4,48
